"Name","Version"
"Add-CVVM","0.2.15"
"Backup-CVVM","0.2.15"
"Get-CVClientAdditionalSettings","0.2.15"
"Get-CVClientGroupProps","0.2.15"
"Get-CVClientProps","0.2.15"
"Get-CVLastBackup","0.2.15"
"Get-CVSessionDetails","0.2.15"
"Get-CVSLA","0.2.15"
"Get-CVSubclientProps","0.2.15"
"Kill-CVJob","0.2.15"
"Mount-CVVM","0.2.15"
"Protect-CVMissedSLA","0.2.15"
"Protect-CVSubclient","0.2.15"
"Remove-CVVM","0.2.15"
"Restore-CVVM","0.2.15"
"Restore-CVVMOut","0.2.15"
"Set-CVClientProps","0.2.15"
"Start-CVDRBackup","0.2.15"
"Start-CVSendLogFiles","0.2.15"
"Add-CVBlackoutWindow","0.2.15"
"Add-CVD365Content","0.2.15"
"Add-CVEntitytoSchedulePolicy","0.2.15"
"Add-CVExchangeContent","0.2.15"
"Add-CVLocalAccessPath","0.2.15"
"Add-CVMediaAgent","0.2.15"
"Add-CVMediaAgentRole","0.2.15"
"Add-CVOnedriveContent","0.2.15"
"Add-CVSharepointContent","0.2.15"
"Add-CVSoftwareCache","0.2.15"
"Add-CVTeamContent","0.2.15"
"Add-CVVirtualMachine","0.2.15"
"Add-CVVirtualMachineGroupContent","0.2.15"
"Backup-CVClientFileSystem","0.2.15"
"Backup-CVDisasterRecovery","0.2.15"
"Backup-CVServerPlan","0.2.15"
"Backup-CVSQLDatabase","0.2.15"
"Backup-CVSQLInstance","0.2.15"
"Backup-CVSQLSubclient","0.2.15"
"Backup-CVSubclient","0.2.15"
"Backup-CVVirtualMachine","0.2.15"
"Backup-CVVMGroup","0.2.15"
"Compare-CVXml","0.2.15"
"Copy-CVSoftware","0.2.15"
"Disable-CVAlertDefinition","0.2.15"
"Disable-CVAuxillaryCopyCommcell","0.2.15"
"Disable-CVBackupAgent","0.2.15"
"Disable-CVBackupCommcell","0.2.15"
"Disable-CVBackupInstance","0.2.15"
"Disable-CVBackupOnPlan","0.2.15"
"Disable-CVBackupServer","0.2.15"
"Disable-CVBackupServerGroup","0.2.15"
